Unique identifier	Getty AAT type	skos:prefLabel @en	skos:broader	rdf:type (skos:)	skos:member	skos:altLabel @en	skos:editorialNote @en	dc:creator	dc:contributor	skos:historyNote @en	skos:note @en (getty)	skos:definition @en	skos:example @en	external concept (getty)	type of match (getty) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	external concept (wikidata)	type of match (wikidata) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	dct:source	skos:related
arrowsMotif	concept	arrows (motif)	motifs	Concept	design	arrow (motif) $$ arrows $$ arrow	"The concept ""arrows (motif)"" in graffiti refers to the standalone depiction of arrows, not associated with a letter or a bow. Arrows as motifs can serve various purposes in a graffito. They can be used to direct attention, create a sense of movement, or simply as a decorative element. The design of the arrow can vary greatly, from simple straight lines to more complex and stylised representations. It's important to note that the interpretation of this motif can be subjective and may differ based on the context and the individual style of the graffitist."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q1139519	closeMatch		
AssociatedConceptsF	facet	Associated Concepts <facet>		Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Includes terms for all abstract concepts and phenomena that relate to the study and execution of various areas of human thought and activity, including architecture and art in all media, as well as related disciplines. Also covered here are theoretical and critical concerns, ideologies, attitudes, and social or cultural movements, to the extent necessary to catalog or discover information about visual works. Examples: beauty, balance, connoisseurship, metaphor, beauty, balance, connoisseurship, metaphor, cultural pluralism."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Associated Concepts Facet’)"			http://vocab.getty.edu/page/aat/300264086	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Associated Concepts Facet’, 25 January 2021. http://vocab.getty.edu/page/aat/300264086.	
AssociatedConceptsHN	hierarchy name	Associated Concepts <hierarchy name>	AssociatedConceptsF	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""The Associated Concepts hierarchy contains terms for concepts and phenomena relating to a wide range of topics, including topics not directly related to art, for example philosophical concepts. Relation to other hierarchies: Terms for branches of learning and areas of specialization, as well as professions and professional specialties, (e.g., ""history"") are found in the Disciplines hierarchy, while concepts associated with these disciplines (e.g., ""positivism "") appear here. Terms for styles and for art and architecture movements (e.g., ""Neoclassical;"" ""Impressionist"") are found in the Styles and Periods hierarchy, while forms of expression (e.g., ""abstraction"") and broad categories of art and architecture that are not specific to a given people or period (e.g., ""organic architecture;"" ""street art"") are here."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Associated Concepts (Hierarchy Name)’)"			http://vocab.getty.edu/page/aat/300055126	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Associated Concepts (Hierarchy Name)’, 25 January 2021. http://vocab.getty.edu/page/aat/300055126.	
atSignsMotif	concept	@ signs (motif)	motifs	Concept	signAndElement	at-sign $$ at $$ @ $$ at-signs $$ @ sign $$ @-signs $$ @-sign	"The ""@ sign (motif)"" in graffiti can serve multiple purposes. It can appear as an individual symbol, a decorative element, or most commonly, in conjunction with a social media handle. This motif is a reflection of the digital age and the increasing interplay between online and offline forms of expression. It signifies the graffitist's presence not only in the physical world but also in the digital sphere, serving as a bridge between their graffiti work and their online identity. As with all motifs in graffiti, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q10714	exactMatch		
attributesAndPropertiesBySpecificTypeGT	guide term	attributes and properties by specific type <guide term> 	AssociatedConceptsHN	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300226808	exactMatch				
backgroundsGraffiti	concept	backgrounds (graffiti)	graffitiConcepts	Concept	componentPart	background (graffiti)	"The concept of ""backgrounds (graffiti)"" refers to the elements that are situated behind the primary subject of a graffiti work. These elements can include patterns, decorative elements, or motifs that serve to enhance or complement the main focus of the graffiti. Backgrounds in graffiti are not about the priming of the area that will be covered by the creation of a graffito but rather focus on the elements that are in the background of the graffito. They provide a context and aesthetic framework that can influence the overall perception and interpretation of the graffiti. It's important to note that these backgrounds are not merely passive or incidental; they are often carefully considered and executed to contribute to the overall impact of the graffiti."	Jona Schlegel $$ Stefan Worgin											
battlesGraffiti	concept	battles (graffiti)	publicAndInteractiveActivitiesGT	Concept	communityTerm	battles $$ battle $$ battle (graffiti) $$ graffiti battles $$ graffiti battle	"In the graffiti community, ""battles"" refer to competitive events where graffitists challenge each other to showcase their skills. These battles can take various forms, but typically involve two or more graffitists creating a graffiti piece within a set time frame, often in front of an audience. The pieces are then judged based on criteria such as creativity, technique, style, and originality. Graffiti battles provide a platform for graffitists to gain recognition, demonstrate their abilities, and engage with the wider graffiti community. They are a testament to the competitive nature inherent in graffiti culture, reflecting the drive of graffitists to outdo each other in terms of skill and creativity."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q105826326	broadMatch		
bitingsGraffiti	concept	bitings (graffiti)	publicAndInteractiveActivitiesGT	Concept	communityTerm	biting (graffiti) $$ bitings $$ biting	"The concept of ""bitings"" in the graffiti community refers to the frowned-upon activity of copying the style and graffiti of another graffitist and then taking credit for it. This is considered disrespectful and against the unwritten rules of the graffiti community. While beginners can learn by copying techniques and styles from other graffitists, it is expected that they will eventually develop and create their own unique style. The term ""biting"" is derived from the slang term ""to bite"", meaning to steal or copy from someone else. It is important to note that the concept of ""bitings"" is subjective and can be interpreted differently depending on the context and the individuals involved."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300053257 	closeMatch				
blackBooksGraffiti	concept	black books (graffiti)	sketchbooks	Concept	communityTerm	blackbooks $$ blackbook $$ black book $$ book, black $$ books, black $$ black book (graffiti)	"""Black books"" in graffiti culture serve as a personal archive for graffitists, where they can practice their designs, document their progress, and collect tags and sketches from other graffitists. These books often contain sketches, designs, and tags, and in the past, they also included printed pictures. The black book can be seen as a friendship book, a testament to the connections and interactions within the graffiti community. It is also akin to a graffitist's sketchbook, reflecting the development of the graffitist's skills and ideas over time. In the graffiti community, the black book holds significant value as it not only showcases a graffitist's work but also their influences, collaborations, and evolution. It is a tangible manifestation of the graffitist's journey in the graffiti world."	Jona Schlegel $$ Stefan Worgin			"""Sketchbooks in which graffiti artists develop ideas, practice tags, and acquire other artists' signatures."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Black Books (Graffiti)’)"			http://vocab.getty.edu/page/aat/300379259 	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Black Books (Graffiti)’, 25 January 2021. http://vocab.getty.edu/page/aat/300379259.	
blockbusterStyleGraffiti	concept	blockbuster style (graffiti)	stylesWriting	Concept	style	style, blockbuster $$ blockbuster style $$ Blockbuster style $$ Blockbuster Style	"The ""blockbuster style"" is a distinctive form of graffiti writing that originated on the East Coast of the United States. Characterised by its large, square-like block letters, this style is not only one of the older graffiti writing styles but also continues to be practised in the present day. The blockbuster style is often used to cover large areas, such as entire walls or sides of buildings, making it highly visible in the urban landscape. This visibility, combined with the style's bold and straightforward lettering, makes it an effective tool for graffitists seeking to make a significant impact and establish their presence in a particular area. Despite its apparent simplicity, the blockbuster style requires a certain level of skill and control to execute effectively, particularly when covering large surfaces. The ability to maintain consistency in letter shape and size across a large scale is a testament to a graffitist's proficiency."	Jona Schlegel $$ Stefan Worgin											
blocksGraffiti	concept	blocks (graffiti)	letterformComponents	Concept	componentPart	block (graffiti) $$ block $$ blocks	"The concept ""blocks (graffiti)"" pertains to a specific style of graffiti writing, often associated with the ""blockbuster style"". This style is characterized by the use of large, block-like letters, typically filled in with a single, solid colour. The block style is designed for maximum visibility and readability, often used to cover large areas or to overwrite other graffitists' works. The simplicity and boldness of the block style make it a popular choice for large-scale graffiti pieces, particularly in urban environments where visibility is key. It's important to note that while the block style is a distinctive aspect of graffiti culture, it should not be interpreted within the framework of traditional art forms. Instead, it should be understood as a unique form of expression within the graffiti community."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300211042	broadMatch				3dGraffiti
bombingGraffiti	concept	bombing (graffiti)	publicAndInteractiveActivitiesGT	Concept	communityTerm $$ activity	bombing $$ bombing (activity)	"""Bombing"" in the graffiti community refers to the act of creating multiple graffiti, especially tags or throw-ups, in a single session. This activity is often used by graffiti artists as a way to gain recognition and fame, also known as ""getting up"", by covering large areas of a city with their unique handstyle. The term ""bombing"" comes from the metaphorical comparison of the widespread and rapid spread of graffiti to the extensive damage caused by bombs. The graffiti created during bombing are often less complex and more quickly executed than traditional pieces, allowing the artist to cover more area in a shorter amount of time."	Jona Schlegel $$ Stefan Worgin			"""In the context of graffiti, bombing denotes prolific and repeated renderings of a single 'tag' in a given physical area in order to attract recognition."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Bombing (Graffiti)’)"			http://vocab.getty.edu/page/aat/300410273	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Bombing (Graffiti)’, 25 January 2021. http://vocab.getty.edu/page/aat/300410273.	
bubblesMotif	concept	bubbles (motif)	motifs	Concept	design	bubble (motif) $$ bubble $$ bubbles	"In the context of graffiti, ""bubbles"" as a motif can be used in various ways. They can be a standalone symbol or sign, or they can be incorporated into the background or the filling of a letter as a pattern. The use of bubbles can add a playful or whimsical element to a graffiti piece, and their round, soft shapes can provide a contrast to the often angular and hard-edged forms of graffiti letters. The use of bubbles can also contribute to the overall visual impact and aesthetic appeal of a graffiti piece."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300443508	broadMatch	https://www.wikidata.org/wiki/Q75794	broadMatch		cloudsMotifs
bubbleStyleGraffiti	concept	bubble style (graffiti)	stylesWriting	Concept	style	style, bubble $$ Bubble Style $$ Bubble style	"The ""Bubble Style"" in graffiti is one of the earliest graffiti writing styles. It is characterized by its simplicity and legibility, making it easy for both the graffitist and the observer to read. The letters in this style are often rounded and inflated, resembling bubbles, hence the name. This style is also quick to execute, making it ideal for ""bombing"" or creating multiple graffiti in one session. This style originated from the East Coast of the United States and has since become a staple in the graffiti community."	Jona Schlegel $$ Stefan Worgin											
buffingsGraffiti	concept	buffings (graffiti)	publicAndInteractiveActivitiesGT	Concept	communityTerm	buffing $$ buffings $$ buffing (graffiti)	"""Buffings"" in the context of graffiti refers to the activity of covering or removing existing graffiti, often to create a clean slate for new work. This can be seen as a respectful act when done by another graffitist preparing to create their own work, or as a playful act when graffitists creatively respond to the actions of those tasked with graffiti removal. However, it can also be seen negatively when it is done by authorities or companies as a form of censorship or control. The concept of buffings is complex and multifaceted, reflecting the dynamic and often contentious nature of graffiti culture."	Jona Schlegel $$ Stefan Worgin											
BuiltEnvironmentHN	hierarchy name	Built Environment <hierarchy name>	ObjectsF	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""The Built Environment hierarchy includes terms for the built and natural environment, covering constructed works and natural landscapes, forming a continuum from the largest natural landscapes and settled areas to the smallest of individual built works. Relation to other hierarchies: The constituent parts of constructed works, such as doors and walls, that extend the continuum at even smaller scale, are found in the Components hierarchy. Concepts may have multiple parents, therefore, in those instances where a concept may logically appear at more than one level of the continuum (e.g., ""chapels (rooms or structures)"" which may be either single built works or components of a work), it is placed with a preferred parent in the hierarchy containing the smaller scale elements unless factors of common usage, design intent, or historical precedence dictate otherwise, it has a second, non-preferred parent in the other logical hierarchical view (e.g., for ""chapels;"" with Single Built Works)."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Built Environment (Hierarchy Name)’)"			http://vocab.getty.edu/page/aat/300264550	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Built Environment (Hierarchy Name)’, 25 January 2021. http://vocab.getty.edu/page/aat/300264550.	
burnersGraffiti	concept	burners (graffiti)	graffitiConcepts	Concept	communityTerm	burner (graffiti) $$ burners $$ burner	"The term ""burners"" in the context of graffiti refers to works that are particularly impressive or elaborate, often considered as masterpieces within the graffiti community. The designation of a graffiti piece as a ""burner"" is subjective and largely depends on the perception of the audience or the graffiti community. It's a form of recognition and appreciation for the graffitist's skill and creativity. The term originates from the idea that the piece is so hot, it's ""burning"" off the wall. However, it's important to note that the term ""burner"" is not universally defined and can vary in meaning across different graffiti communities and regions."	Jona Schlegel $$ Stefan Worgin			"""Graffiti pieces that are regarded as being of exceptional quality, as judged by other graffiti artists. To 'burn' is to outdo the work of others."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Burners (Graffiti Art)’)"			http://vocab.getty.edu/page/aat/300410278 	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Burners (Graffiti Art)’, 25 January 2021. http://vocab.getty.edu/page/aat/300410278.	
calligraffitiStyle	concept	calligraffiti (style)	stylesGraffiti	Concept	style	calligraffito (style) $$ calligraffiti $$ calligraffito	"""Calligraffiti"" is a unique fusion of calligraphy, typography, and graffiti, which can be categorized as either abstract expressionism or abstract vandalism. This art form integrates letters into compositions that aim to communicate a broader message through aesthetically altered writing, transcending its literal meaning. It is a conscious effort to transform a word or group of words into a visual composition, providing both an aesthetic experience and provocative art."	Jona Schlegel $$ Stefan Worgin		"The term ""calligraffiti"" has been used in various contexts, but it gained prominence when Dutch artist Niels Shoe Meulman used it as the title of his solo exhibition in 2007. He described calligraffiti as ""traditional handwriting with a metropolitan attitude,"" a way of translating the art of the street to the interior of museums, galleries, and apartments. However, the use of the term predates Meulman's contributions by at least thirty years. It was used by Canadian painter Brion Gysin in his final exhibition, ""Calligraffiti of Fire,"" in 1986, and in a book about post-modernism by H.L. Hix in 1995. Jordanian artist and art historian Wijdan Ali also used the term in her book, ""Modern Islamic Art: Development and Continuity,"" (1997) to describe a style of art that had been flourishing across the Middle East and North Africa from the mid-20th century."						https://www.wikidata.org/wiki/Q22669850	broadMatch		
charactagGraffiti	concept	charactags (graffiti)	charactersWriting	Concept	graffitoType	charactag (graffiti) $$ charactags $$ charactag	"The term ""charactags"" in the context of graffiti refers to a unique form of signature employed by graffitists. Unlike traditional tags, which are typically text-based and often feature the graffitist's chosen name or moniker, charactags incorporate a character or symbol that is consistently used by the graffitist across their works. These characters, which can range from simple symbols to more complex and stylised designs, are typically created using a marker and are repeated throughout the urban landscape, much like a traditional tag. The consistent use of a specific character allows the graffitist to establish a recognisable identity within the graffiti community and the wider public. Charactags represent a fusion of visual artistry and identity-making, offering a creative alternative to text-based tags. They demonstrate the versatility of graffiti as a medium and the innovative ways in which graffitists seek to express their individuality and leave their mark on the urban environment."	Jona Schlegel $$ Stefan Worgin											tagsGraffiti
charactersStreetArt	concept	characters (street art)	figureWorks	Concept	graffitoType	character (street art)	"The term ""characters"" within the context of street art refers to the figurative or symbolic elements that often form the central focus of a graffito. These characters can range from human figures to animals, mythical creatures, or even abstract forms. They are typically stylised and can be either realistic or fantastical in nature. Characters in street art serve various purposes. They can convey a narrative, express an emotion, or communicate a political or social message. They can also serve as a signature or identifier for the graffitist, much like a tag in graffiti writing. The creation of characters in street art requires a different set of skills compared to traditional graffiti writing. It often involves a more detailed and intricate process, requiring knowledge of drawing, shading, and colour theory."	Jona Schlegel $$ Stefan Worgin											
charactersWriting	concept	characters (writing)	figuresRepresentations	Concept	graffitoType	character (writing)	"The term ""characters"" within the context of graffiti writing refers to the figurative or symbolic elements that often accompany the main textual elements of a graffito. These characters can range from human figures to animals, mythical creatures, or even abstract forms. They are typically stylised and can be either realistic or fantastical in nature.
In graffiti writing, characters often serve as secondary elements, complementing the main textual components such as tags, throw-ups, or pieces. They can add visual interest, enhance the narrative, or provide additional context to the graffito. Characters in graffiti writing can also serve as a signature or identifier for the graffitist, adding an extra layer of personalisation to their work. However, they are typically less prominent and less frequent compared to characters in street art. The creation of characters in graffiti writing requires a blend of skills, combining the stylistic elements of graffiti lettering with the principles of drawing and illustration."	Jona Schlegel $$ Stefan Worgin											
cloudsMotifs	concept	clouds (motifs)	motifs	Concept	design	cloud (motif)	"The term ""clouds"" within the context of graffiti refers to a recurring motif or pattern that can be incorporated into a graffito. This motif can be used in various ways, such as a decorative element, a background feature, or even as a part of the main design. Clouds in graffiti are typically stylised and can vary greatly in form and complexity, from simple, abstract shapes to more detailed and realistic representations. They can add visual interest, create a sense of depth or movement, or contribute to the overall narrative or theme of the graffito."	Jona Schlegel $$ Stefan Worgin						http://vocab.getty.edu/page/aat/300343840 	closeMatch	https://www.wikidata.org/wiki/Q8074	broadMatch		bubblesMotif
commissionedWorksGraffiti	concept	commissioned works (graffiti)	graffitiConcepts	Concept	conceptIdea	commissioned work (graffiti)	"The term ""commissioned work"" within the context of graffiti refers to a graffito that has been legally created, often at the request of a specific individual, organisation, or entity. This type of work is typically sanctioned and permitted by the property owner or relevant authorities, and it may even be a paid project. Commissioned works in graffiti can range from small-scale pieces to large murals that cover entire walls or buildings. They often serve a specific purpose, such as beautifying a space, conveying a particular message, or contributing to a community project. While commissioned works are legal and often appreciated by the public, they can sometimes be seen as less authentic or controversial within the graffiti community. This is because the very nature of graffiti is often associated with rebellion, spontaneity, and the act of reclaiming public space without permission."	Jona Schlegel $$ Stefan Worgin			"""Orders, charges, projects, or activities requested and usually financed by one party and ordered or entrusted to an artist or other party to perform or execute, for example a commission may be made for a particular art work. For the process of assigning or granting a commission, use ""commissioning (function)."""" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Commissions (Orders for Works)’)"			http://vocab.getty.edu/page/aat/300400904	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Commissions (Orders for Works)’, 25 January 2021. http://vocab.getty.edu/page/aat/300400904.	
communityTerm	collection	community term		Collection				Jona Schlegel											
componentPart	collection	component part		Collection	graffitoComponent			Jona Schlegel											
componentsBySpecificContextGT	guide term	components by specific context <guide term>	componentsObjectsParts	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300241584	exactMatch				
ComponentsHN	hierarchy name	Components <hierarchy name>	ObjectsF	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"	""The Components hierarchy contains terms for the constituent parts of objects, including structures, images, and texts. In those instances where a term refers to an element that may sometimes be a component and sometimes stand alone, it is placed with a preferred parent in the most suitable hierarchy. For example, ""chapels (rooms or structures);"" which are always rooms or spaces but may sometimes also be independent buildings, appears with a preferred parent in the <Christian religious building spaces> section of the Components hierarchy, and a non-preferred parent as Single Built Works. Relation to other hierarchies: Higher-level nodes for components are placed with a second parent under the record for the visual work, tool, etc. to which they pertain, this relationship is a partitive (whole/part) relationship, whereas all other relationships in the AAT are genus/species. For example ""aerophone components"" has a second parent as a Partitive Relationship (P) to ""aerophones."" Terms for features that are not separable as actual components, such as ornamental patterns and physical effects (e.g., ""fluting;"" ""wrinkles""), are in the Physical Attributes facet. Terms for items permanently installed into the fabric of the built environment (e.g. ""altars"") are Components, while movable articles used to furnish indoor or outdoor spaces are in the Furnishings hierarchy."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Components (Hierarchy Name)’)"			http://vocab.getty.edu/page/aat/300241490	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Components (Hierarchy Name)’. Accessed 1 August 2023. http://vocab.getty.edu/page/aat/300241490.	
componentsObjectsParts	concept	components (objects parts)	ComponentsHN	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Constituent parts of a larger object. A component differs from an item in that the item can stand alone as an independent work but the component typically cannot or does not stand alone. Examples are a panel of a polyptych or a discrete architectural component such as a dome."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Components (Objects Parts)’)"			http://vocab.getty.edu/page/aat/300241583	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Components (Objects Parts)’. Art & Architecture Thesaurus, 25 January 2021. http://vocab.getty.edu/page/aat/300241583.	
computerNetworkingConcepts	concept	computer networking concepts	informationTechnology	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Concepts related to telecommunications systems that allow computers to exchange data."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Computer Networking Concepts’)"			http://vocab.getty.edu/page/aat/300266010	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Computer Networking Concepts’, 25 January 2021. http://vocab.getty.edu/page/aat/300266010.	
conceptIdea	collection	concept idea		Collection	graffitoComponent			Jona Schlegel											
conceptsInTheArtsAndHumanitiesGT	guide term	concepts in the arts and humanities <guide term>	AssociatedConceptsHN	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300056107	exactMatch				
conceptWallsGraffiti	concept	concept walls (graffiti)	graffitiConcepts	Concept	conceptIdea	concept wall (graffiti)	"The term ""concept walls"" within the context of graffiti refers to a wall or surface that has been used by a graffitist or a group of graffitists to execute a preconceived idea or theme. These walls often feature interconnected graffiti that collectively express a specific concept or narrative. Concept walls can be seen as visual storytelling, where each graffito contributes to the overall message or theme. The concept could be anything from a social or political commentary, a depiction of a particular event or person, or an abstract idea expressed through visual metaphors. Creating a concept wall requires planning and coordination, especially when multiple graffitists are involved. Each graffitist needs to understand the overall concept and how their individual work contributes to it. This collaborative process can result in a cohesive and impactful visual statement beyond individual graffito."	Jona Schlegel $$ Stefan Worgin											
connectionsGraffiti	concept	connections (graffiti)	outlinesGraffiti	Concept	conceptIdea	connection (graffiti)	"The term ""connections"" within the context of graffiti refers to the visual and conceptual links that are established between different elements within a graffito. These connections can take various forms and serve different purposes, depending on the intent of the graffitist and the nature of the graffito.
Visually, connections can be created through the use of lines, shapes, colours, and patterns that link different parts of the graffito together. For example, a graffitist might use a consistent colour scheme or recurring motifs to create a sense of unity and cohesion within their work. Similarly, the letters in a piece of graffiti writing might be interconnected or overlapped in a way that creates a visual flow and rhythm.
Conceptually, connections can be established through the use of shared themes, symbols, or references. For instance, graffitist might incorporate elements from popular culture, political movements, or personal experiences into their work, creating connections that can be interpreted and understood by the viewer."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q230629	broadMatch		
