Unique identifier;Getty AAT type;skos:prefLabel @en;skos:broader;rdf:type (skos:);skos:member;skos:altLabel @en;"skos:editorialNote @en ";skos:note @en (getty);skos:definition @en;skos:example @en;external concept (getty);type of match (getty) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch);external concept (wikidata);type of match (wikidata) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch);dct:source;skos:related
arrowsMotif;concept;arrows (motif);motifs;Concept;design;arrow (motif) $$ arrows $$ arrow;"This concept references the drawing of an arrow not in connection to a bow.";;;;;;https://www.wikidata.org/wiki/Q1139519;closeMatch;;
AssociatedConceptsF;facet;Associated Concepts <facet>;;Concept;;;;Includes terms for all abstract concepts and phenomena that relate to the study and execution of various areas of human thought and activity, including architecture and art in all media, as well as related disciplines. Also covered here are theoretical and critical concerns, ideologies, attitudes, and social or cultural movements, to the extent necessary to catalog or discover information about visual works. Examples: beauty, balance, connoisseurship, metaphor, beauty, balance, connoisseurship, metaphor, cultural pluralism.;;;http://vocab.getty.edu/page/aat/300264086;exactMatch;;;;
AssociatedConceptsHN;hierarchy name;Associated Concepts <hierarchy name>;AssociatedConceptsF;Concept;;;;"The Associated Concepts hierarchy contains terms for concepts and phenomena relating to a wide range of topics, including topics not directly related to art, for example philosophical concepts. Relation to other hierarchies: Terms for branches of learning and areas of specialization, as well as professions and professional specialties, (e.g., ""history"") are found in the Disciplines hierarchy, while concepts associated with these disciplines (e.g., ""positivism "") appear here. Terms for styles and for art and architecture movements (e.g., ""Neoclassical;"" ""Impressionist"") are found in the Styles and Periods hierarchy, while forms of expression (e.g., ""abstraction"") and broad categories of art and architecture that are not specific to a given people or period (e.g., ""organic architecture;"" ""street art"") are here.";;;http://vocab.getty.edu/page/aat/300055126;exactMatch;;;;
atSignsMotif;concept;@ signs (motif);motifs;Concept;signAndElement;at-sign $$ at $$ @ $$ at-signs $$ @ sign $$ @-signs $$ @-sign;"If the @sign shows up as an individual symbol or a decoration element or most likely it will be found in connection with the ""social media handle""";;;;;;https://www.wikidata.org/wiki/Q10714;exactMatch;;
attributesAndPropertiesBySpecificTypeGT;guide term;"attributes and properties by specific type <guide term> ";AssociatedConceptsHN;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300226808;exactMatch;;;;
backgroundsGraffiti;concept;backgrounds (graffiti);graffitiConcepts;Concept;componentPart;background (graffiti);"This concept is not about the background aka priming of the area that will be covered by the creation of a graffito but rather focuses on the patterns, decorational elements or motives that are in the background of the graffito.";;;;;;;;;
battlesGraffiti;concept;battles (graffiti);publicAndInteractiveActivitiesGT;Concept;communityTerm;battles $$ battle $$ battle (graffiti) $$ graffiti battles $$ graffiti battle;"If a graffiti battle takes place, graffitists are battleing each other and thereby performing an activity.";;;;;;https://www.wikidata.org/wiki/Q105826326;broadMatch;;
bitingsGraffiti;concept;bitings (graffiti);publicAndInteractiveActivitiesGT;Concept;communityTerm;biting (graffiti) $$ bitings $$ biting;"A frowned upon activity, as this means copying the style and graffiti of another graffitist (and then take credit for this). Beginners can learn by copying technqiues and styles from other graffitists, and then start to get inspired and create their own style.";-;;;"http://vocab.getty.edu/page/aat/300053257 ";closeMatch;;;;
blackBooksGraffiti;concept;black books (graffiti);sketchbooks;Concept;communityTerm;blackbooks $$ blackbook $$ black book $$ book, black $$ books, black $$ black book (graffiti);"The book that has sketches and designs as well as tags inside, and in the old days this book also included printed pictures. This kind of can be seen as a friendships book, where a graffitist can also collect tags (and maybe sketches) from other graffitists. It is quite similar to an artists sketchbook, where one practices and kind of protocols the way your skills and ideas are developing.";Sketchbooks in which graffiti artists develop ideas, practice tags, and acquire other artists’ signatures.;;;"http://vocab.getty.edu/page/aat/300379259 ";exactMatch;;;;
blockbusterStyleGraffiti;concept;blockbuster style (graffiti);stylesWriting;Concept;style;style, blockbuster $$ blockbuster style $$ Blockbuster style $$ Blockbuster Style;"This is one of the older graffiti writing styles from the East coast of the US, which is also still practiced nowadays and easy to spot due to big square like block letters.";;;;;;;;;
blocksGraffiti;concept;blocks (graffiti);letterformComponents;Concept;componentPart;block (graffiti) $$ block $$ blocks;"This concept is related to the graffiti writing style ""blockbuster style (graffiti) as this refers to the form of the letters, which are created in a block form.";-;;;http://vocab.getty.edu/page/aat/300211042;broadMatch;;;;3dGraffiti
bombingGraffiti;concept;bombing (graffiti);publicAndInteractiveActivitiesGT;Concept;communityTerm $$ activity;bombing;"This concept refers to the activity of bombing aka creating multiple graffiti (especially tags or throw ups) in one session. This is one of the ways a graffiti can become famouse (getting up) with covering the city with their handstyle.";In the context of graffiti, bombing denotes prolific and repeated renderings of a single 'tag' in a given physical area in order to attract recognition.;;;http://vocab.getty.edu/page/aat/300410273;exactMatch;;;;
bubblesMotif;concept;bubbles (motif);motifs;Concept;design;bubble (motif);"This concept is a motif or symbol or sign and can be found also in the background or the filling of the letter as a pattern.";-;;;http://vocab.getty.edu/page/aat/300443508;broadMatch;https://www.wikidata.org/wiki/Q75794;broadMatch;;cloudsMotifs
bubbleStyleGraffiti;concept;bubble style (graffiti);stylesWriting;Concept;style;style, bubble $$ Bubble Style $$ Bubble style;"The name of this graffiti writing style describes the shape of the letters in which they appear and is also one of the older styles originating from the East coast of the US.";;;;;;;;;
buffingsGraffiti;concept;buffings (graffiti);publicAndInteractiveActivitiesGT;Concept;communityTerm;buffing;"This concept represents an activity and it can be either seen as something positive and respectful (like the total covering of the underlying graffito to start creating your own work), and something playful (like the graffitist playing with the coverers by creating somehing new via the buffers - the people that cover) or something negative (buffing via a company, order etc).";;;;;;;;;
BuiltEnvironmentHN;hierarchy name;Built Environment <hierarchy name>;ObjectsF;Concept;;;;"The Built Environment hierarchy includes terms for the built and natural environment, covering constructed works and natural landscapes, forming a continuum from the largest natural landscapes and settled areas to the smallest of individual built works. Relation to other hierarchies: The constituent parts of constructed works, such as doors and walls, that extend the continuum at even smaller scale, are found in the Components hierarchy. Concepts may have multiple parents, therefore, in those instances where a concept may logically appear at more than one level of the continuum (e.g., ""chapels (rooms or structures)"" which may be either single built works or components of a work), it is placed with a preferred parent in the hierarchy containing the smaller scale elements unless factors of common usage, design intent, or historical precedence dictate otherwise, it has a second, non-preferred parent in the other logical hierarchical view (e.g., for ""chapels;"" with Single Built Works).";;;http://vocab.getty.edu/page/aat/300264550;exactMatch;;;;
burnersGraffiti;concept;burners (graffiti);graffitiConcepts;Concept;communityTerm;burner (graffiti) $$ burners $$ burner;"This is a concept that also depends on the judger and audience, wheather they think a graffito is a masterpiece or not. Furthermore, it is kind of like a title and appreciation for the graffitist.";Graffiti pieces that are regarded as being of exceptional quality, as judged by other graffiti artists. To ‘burn’ is to outdo the work of others.;;;"http://vocab.getty.edu/page/aat/300410278 ";exactMatch;;;;
calligraffitiStyle;concept;calligraffiti (style);stylesGraffiti;Concept;style;calligraffito (style) $$ calligraffiti $$ calligraffito;"This concept is a graffiti writing style and highly influenced by the practice of calligraphy.";;;;;;https://www.wikidata.org/wiki/Q22669850;broadMatch;;
charactagGraffiti;concept;charactags (graffiti);charactersWriting;Concept;graffitoType;charactag;"A character that appears more regularly around the city and is like a tag, created with a marker and can be seen as a signature of the graffitist (making them also recognisable). ";;;;;;;;;tagsGraffiti
charactersStreetArt;concept;characters (street art);figureWorks;Concept;graffitoType;character (street art);"This concept incoporates the characters, that are the main focus of a graffito, and is tehreby linked to street art.";;;;;;;;;
charactersWriting;concept;characters (writing);figuresRepresentations;Concept;graffitoType;character (writing);"This concepts includes characters that are typically found in graffiti writing and are more side characters next to the text in form of a graffiti writing.";;;;;;;;;
cloudsMotifs;concept;clouds (motifs);motifs;Concept;design;cloud (motif);"A motif, symbol or pattern, that can be included in a graffito just like ""bubble (graffito)"".";-;;;"http://vocab.getty.edu/page/aat/300343840 ";closeMatch;https://www.wikidata.org/wiki/Q8074;broadMatch;;bubblesMotif
commissionedWorksGraffiti;concept;commissioned works (graffiti);graffitiConcepts;Concept;conceptIdea;commissioned work (graffiti);"A (often) legally created graffito and it could be even payed work.";"Orders, charges, projects, or activities requested and usually financed by one party and ordered or entrusted to an artist or other party to perform or execute, for example a commission may be made for a particular art work. For the process of assigning or granting a commission, use ""commissioning (function).";;;http://vocab.getty.edu/page/aat/300400904;exactMatch;;;;
communityTerm;collection;community term;;Collection;;;;;;;;;;;;
componentsBySpecificContextGT;guide term;components by specific context <guide term>;componentsObjectsParts;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300241584;exactMatch;;;;
ComponentsHN;hierarchy name;Components <hierarchy name>;ObjectsF;Concept;;;;"The Components hierarchy contains terms for the constituent parts of objects, including structures, images, and texts. In those instances where a term refers to an element that may sometimes be a component and sometimes stand alone, it is placed with a preferred parent in the most suitable hierarchy. For example, ""chapels (rooms or structures);"" which are always rooms or spaces but may sometimes also be independent buildings, appears with a preferred parent in the <Christian religious building spaces> section of the Components hierarchy, and a non-preferred parent as Single Built Works. Relation to other hierarchies: Higher-level nodes for components are placed with a second parent under the record for the visual work, tool, etc. to which they pertain, this relationship is a partitive (whole/part) relationship, whereas all other relationships in the AAT are genus/species. For example ""aerophone components"" has a second parent as a Partitive Relationship (P) to ""aerophones."" Terms for features that are not separable as actual components, such as ornamental patterns and physical effects (e.g., ""fluting;"" ""wrinkles""), are in the Physical Attributes facet. Terms for items permanently installed into the fabric of the built environment (e.g. ""altars"") are Components, while movable articles used to furnish indoor or outdoor spaces are in the Furnishings hierarchy.";;;http://vocab.getty.edu/page/aat/300241490;exactMatch;;;;
componentsObjectsParts;concept;components (objects parts);ComponentsHN;Concept;;;;Constituent parts of a larger object. A component differs from an item in that the item can stand alone as an independent work but the component typically cannot or does not stand alone. Examples are a panel of a polyptych or a discrete architectural component such as a dome.;;;http://vocab.getty.edu/page/aat/300241583;exactMatch;;;;
computerNetworkingConcepts;concept;computer networking concepts;informationTechnology;Concept;;;;"Concepts related to telecommunications systems that allow computers to exchange data.
";;;http://vocab.getty.edu/page/aat/300266010;exactMatch;;;;
conceptsInTheArtsAndHumanitiesGT;guide term;concepts in the arts and humanities <guide term>;AssociatedConceptsHN;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300056107;exactMatch;;;;
conceptWallsGraffiti;concept;concept walls (graffiti);graffitiConcepts;Concept;conceptIdea;concept wall (graffiti);;;;;;;;;;
connectionsGraffiti;concept;connections (graffiti);outlinesGraffiti;Concept;conceptIdea;connection (graffiti);;;;;;;https://www.wikidata.org/wiki/Q230629;broadMatch;;
cracksMotif;concept;cracks (motif);motifs;Concept;design;crack (motif);"Cracks can be patterns (just like bubbles (graffiti)) that can be used in the background or in the fillings of a graffito.";-;;;"http://vocab.getty.edu/page/aat/300209168 ";broadMatch;;;;
crewsGraffiti;concept;crews (graffiti);groupsOfPeople;Concept;graffitoCreator;crew (graffiti);"Two or more graffitists that decided to form a group.";-;;;"http://vocab.getty.edu/page/aat/300192630 ";broadMatch;https://www.wikidata.org/wiki/Q345844;closeMatch;;
crossingOutGraffiti;concept;crossing out (graffiti);publicAndInteractiveActivitiesGT;Concept;conceptIdea;crossing;"An activity where a graffitist crosses over the graffito of another graffitists. This is seen as something more negative.";;;;;;;;;
crownsMotifs;concept;crowns (motif);motifs;Concept;design;crown (motif);"This can be used as a motif or symbol in a graffito. But is it also as a concept related to ""king"" (a really good graffitist) as it shows the crowing of a king aka a great master in the graffiti community/ a great graffitists which excels either in quality or quantity of graffiti creation.";-;;;"http://vocab.getty.edu/page/aat/300046020 ";closeMatch;https://www.wikidata.org/wiki/Q908430;closeMatch;;
cutOutsGraffiti;concept;cut outs (graffiti);pasteUpsGraffiti;Concept;graffitoType;cut out (graffiti) $$ cutouts $$ cutout;"A street art type which is printed on paper, then cut out and pasted on a wall/ surface. This could be an object, or a figure/character and even include writing.";Shapes, forms, or figures cut from, or intended to be cut from, pieces of material such as paper, cardboard, wood, or cloth.;;;"http://vocab.getty.edu/page/aat/300257411 ";closeMatch;https://www.wikidata.org/wiki/Q5137101;closeMatch;;
dedicationsGraffiti;concept;dedications (graffiti);graffitiConcepts;Concept;conceptIdea;"dedication (graffiti) ";"This concept describes a graffito that was dedicated to a person, which is then often named in the piece itselfes. This graffito can also be dedicated to multiple people or even a crew.";-;;;http://vocab.getty.edu/page/aat/300026114;closeMatch;https://www.wikidata.org/wiki/Q1898184;broadMatch;;
designElementsAttributes;concept;design elements (attributes);DesignElementsHN;Concept;;;;Fundamental ideas and components or parts that are observable in a visual design or work of art, such as lines, points, movement, forms, spaces, colors, textures, and patterns, among others.;;;"http://vocab.getty.edu/page/aat/300009699 ";exactMatch;;;;
DesignElementsHN;hierarchy name;Design Elements <hierarchy name>;PhysicalAttributesF;Concept;;;;"The Design Elements hierarchy contains terms for conventionalized and recurring shapes and arrangements of forms used in the design of many types of object and their ornament, that may be expressed regardless of their materials (e.g., ""rosettes;"" ""Celtic crosses""). Relation to other hierarchies: Terms for certain attributes related to shape or position are in the Attributes and Properties hierarchy (e.g., ""convex;"" ""concentric""). Terms for three-dimensional ornamental components or elements that exist only in a given material are found in the Components hierarchy (e.g., ""finials"").";;;http://vocab.getty.edu/page/aat/300123558;exactMatch;;;;
documentGenres;concept;document genres;informationFormsObjects;Concept;;;;"Refers to the various types or classifications of documents, which are typically physical or digital representations of a body of information that is designed with the capacity to communicate. For the broad meaning of documents as a separate concept in itself, use ""documents.""";;;http://vocab.getty.edu/page/aat/300026031;exactMatch;;;;
documentsByFunctionGT;guide term;"documents by function <guide term> ";documentGenres;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";"Collocates descriptors for documents that emphasize a specific purpose for which the document was created.
";;;http://vocab.getty.edu/page/aat/300137955;exactMatch;;;;
drippingTechnique;concept;dripping (technique);surfaceCoveringProcessesAndTechniquesGT;Concept;activity;;;Technique of creating paintings by dripping or pouring paint in a semi-controlled manner onto the support.;;;"http://vocab.getty.edu/page/aat/300053347 ";closeMatch;;;;
dripsBeginnersMark;concept;drips (beginners' mark);accidentalSurfaceCoveringProcessesGT;Concept;;drip (beginners' mark);"This concept is a physical attribute of graffito that points to a beginner.";;;;;;;;;
dripsMotif;concept;drips (motif);motifs;Concept;design;drip (motif);"This is a motif, that just like ""bubbles (graffiti)"" can be used in the background or the filling of the letters in a graffito.";;;;;;;;;
etchingsGraffiti;concept;etchings (graffiti);writingGraffiti;Concept;graffitoType;etching (graffiti);;;;;;;;;;
etchingTechnique;concept;etching (technique);subtractiveProcessesAndTechniquesGT;Concept;activity;;;"Creating marks on the surface of a hard material such as metal or glass, by the controlled corrosive action of acid. Use ""etching (printing process)"" for the series of steps that includes printing from a bitten plate.";;;"http://vocab.getty.edu/page/aat/300053840 ";closeMatch;https://www.wikidata.org/wiki/Q186986;exactMatch;;
fadingsGraffiti;concept;fadings (graffiti);graffitiConcepts;Concept;componentPart;fading (graffiti);"This concept is a a grading technique of two colours filling the letter of a graffito.";;;;;;;;;
fame;concept;fame;sociologicalConcepts;Concept;communityTerm;;;Action or condition of being much talked about, chiefly in a good sense. Reputation derived from great achievements, celebrity, honor, renown.;;;"http://vocab.getty.edu/page/aat/300417274 ";exactMatch;https://www.wikidata.org/wiki/Q1519566;exactMatch;;
genderSignsMotifs;concept;gender signs (motifs);motifs;Concept;signAndElement;gener sign (motif);"This concept is a symbol or sign that can be either be present on a surface as an individual motif but it could also be in connection with a text, message or slogan.";;;;;;https://www.wikidata.org/wiki/Q48277;closeMatch;;
geometricStyleGraffiti;concept;geometric style (graffiti);stylesWriting;Concept;style;style, geometric;"This is a graffiti style where the letters are created following a geometrical pattern or attributes.";;;;;;https://www.wikidata.org/wiki/Q43114389;broadMatch;;
gettingUpGraffiti;concept;getting up (graffiti);fame;Concept;communityTerm;up, getting;"The concept of ""getting up"" means becoming famous in the graffiti community.";;;;;;;;;
figuresRepresentations;concept;figures (representations);visualWorksByFunctionGT;Concept;;;;"Representations of humans, animals, or mythical beasts, in any medium.
 ";;;http://vocab.getty.edu/page/aat/300189808;exactMatch;;;;
figureWorks;concept;figure works;visualWorksByFunctionGT;Concept;;;;Works, in any medium, in which the primary or only subject is the human figure or figures. Used especially when no other iconography is depicted.;;;http://vocab.getty.edu/page/aat/300391003;exactMatch;;;;
fillInsGraffiti;concept;fill ins (graffiti);graffitiConcepts;Concept;componentPart;fill in (graffiti);"Fill ins refers to the filling of the letters of a graffito with a colour (or also patterns).";;;;;;;;;
firstLiniesGraffiti;concept;first lines (graffiti);outlinesGraffiti;Concept;componentPart;first line (graffiti) $$ lines, frist (graffiti) $$ line, first (graffiti);"This concept refers to the first sketch or first outline of a graffito, which then gets covered as it is used more as a composition design element.";-;;;http://vocab.getty.edu/page/aat/300015618;closeMatch;;;;
firstRowsGraffiti;concept;first rows (graffiti);openSpacesByLocationOrContextGT;Concept;;rows, first (graffiti) $$ first row (graffiti);"Simpler to reach area on a wall by just standing on the ground, which often gets covered.";;;;;;;;;
formAttributes;concept;form attributes;attributesAndPropertiesBySpecificTypeGT;Concept;;;;Characteristics and qualities of form.;;;http://vocab.getty.edu/page/aat/300226816;exactMatch;;;;
glories;concept;glories;motifs;Concept;;;;"In painting, sculpture, and artistic image-making of various kinds, representations of radiant light or luminosity emanating from divinities, holy persons, and other divine beings or objects, such as the Christian Lamb of God or the word ""God."" Sometimes used by extention to refer to the entire ensemble of light and beings or objects.
";;;http://vocab.getty.edu/page/aat/300263370;exactMatch;;;;
graffiti;concept;graffiti;visualWorksByLocationOrContextGT;Concept;graffitoClass;graffito;;-;;;"http://vocab.getty.edu/page/aat/300015613 $$ http://vocab.getty.edu/page/aat/300410270 ";closeMatch $$ closeMatch;https://www.wikidata.org/wiki/Q17514;exactMatch;;
graffitiConcepts;concept;graffiti concepts;conceptsInTheArtsAndHumanitiesGT;Concept;;;;;;;;;;;;
graffitists;concept;graffitists;peopleInTheArtsAndRelatedOccupationsGT;Concept;graffitoCreator;graffitist;"This is the concept INDIGO is using to define the creator of a graffito.";Refers to people who create humorous, satiric, obscene, or gang-related writings or drawings that are executed anonymously in public places, usually on walls and typically illegally.;;;http://vocab.getty.edu/page/aat/300312066;closeMatch;https://www.wikidata.org/wiki/Q15095148;exactMatch;;
graffitoClass;collection;graffito class;;Collection;;;;;;;;;;;;
graffitoComponent;collection;graffito component;;Collection;;;;;;;;;;;;
graffitoCreator;collection;graffito creator;;Collection;;;;;;;;;;;;
graffitoType;collection;graffito type;;Collection;;;;;;;;;;;;
greetingsGraffiti;concept;greetings (graffiti);graffitiConcepts;Concept;conceptIdea;greeting (graffiti);"A greeting is usually done in the form of names added on to a graffito and often includes a person, a fellow graffiists and is hierarchically on the same level as a dedication.";;;;;;https://www.wikidata.org/wiki/Q50809272;relatedMatch;;
groupsOfPeople;concept;groups of people;peopleAgents;Concept;;;;General term for types of groups of people.;;;"http://vocab.getty.edu/page/aat/300192630 ";exactMatch;;;;
hallsOfFameGraffiti;concept;halls of fame (graffiti);openSpacesByLocationOrContextGT;Concept;;hall of fame (graffiti);"A well-known area in the graffiti community, were a lot of graffiti are created. This is similar to a gallery in regards to that you can go there and visit and observe different kind of graffiti from different graffitist, but different to an art gallery, as this area is not being curated, so graffitists are free to create their own works where ever they want.";;;;"http://vocab.getty.edu/page/aat/300005813 ";broadMatch;https://www.wikidata.org/wiki/Q1046088;relatedMatch;;
halosGlories;concept;halos (glories);glories;Concept;;halo (glories);;Glories that comprise a circle, disk, series of lines, or rays of light with which the head of the sacred personage is surrounded. In Hellenistic and Roman art, halos are worn by the sun-god Helios and Roman emperors often appear with a crown of rays. The imagery was picked up in Christian art.;;;"http://vocab.getty.edu/page/aat/300375684 ";exactMatch;https://www.wikidata.org/wiki/Q3341893;exactMatch;;
halosGraffiti;concept;halos (graffiti);halosGlories;Concept;design;halo (graffiti);"This concept is usually created on top of a tag or throw up or piece and has a similar meaning as a crown - being a skilled graffitist or even a ""king (graffiti)"".";;;;;;;;;
handstylesGraffiti;concept;handstyles (graffiti);graffitiConcepts;Concept;communityTerm;handstyle;"This concepts means the graffitists signature, which can be seen as more unqiue and used in a tag, and can also change over time. It is the tag style the graffitist is known for and can be identified with.";;;;;;https://www.wikidata.org/wiki/Q16873917;exactMatch;;
heartsMotifs;concept;hearts (motifs);motifs;Concept;signAndElement;heart (motif);;Refers to the highly conventionalized figure based on the shape of the human heart.;;;"http://vocab.getty.edu/page/aat/300009874 ";exactMatch;https://www.wikidata.org/wiki/Q826930;exactMatch;;
helloMyNameIsGraffiti;concept;Hello My Name Is (graffiti);stylesSticker;Concept;style;;"This is a specific style of a sticker, where than a tag is written on top.";;;;;;;;;
highlightsGraffiti;concept;highlights (graffiti);outlinesGraffiti;Concept;componentPart;highlight (graffiti) $$ highlight $$ highlights;"A highlight helps to create a kind of three-dimensional effect of a graffito. This can be either lines or star-shaped and often using a light colour (often white). This kind of mimicks the sun or light bulb light reflecting off at specific points on a letter.";The technique of adding white or light media on a medium-toned or dark ground. The term is usually reserved for drawing, but painting and other image-making processes may also employ highlighting.;;;http://vocab.getty.edu/page/aat/300389864;closeMatch;https://www.wikidata.org/wiki/Q2412125;closeMatch;;
informationFormComponents;concept;information form components;componentsBySpecificContextGT;Concept;;;;Parts or components of information forms.;;;http://vocab.getty.edu/page/aat/300201262;exactMatch;;;;
InformationFormsHN;hierarchy name;Information Forms <hierarchy name>;VisualAndVerbalCommunicationHN;Concept;;;;"The Information Forms hierarchy contains terms for textual, graphic, and physical objects having the primary and original purpose to record or convey specific information. Titles of particular texts are excluded, except where they are used to refer to a broad category of works (e.g., ""Bibles"" is included, but ""Tale of Two Cities"" is excluded). Relation to other hierarchies: Terms for typeface and scripts (e.g., ""Caroline minuscule"") are in the Components hierarchy, ""information forms components"" having a non-preferred partitive parent here. Terms for two- and three-dimensional works created to communicate primarily visually, especially to communicate expressive meaning rather than specific information, appear in the Visual Works hierarchy (e.g., ""still lifes""). Types of prints used primarily to reproduce documents and technical drawings (e.g., ""blueprints (reprographic copies)"") which, though produced by light-sensitive processes are not considered photographs, appear here, while photographs and photomechanical prints are found in Visual Works. Terms for many types of financial documents are found here, while items that specifically are used in the exchange of goods or services or in the settlement of debts are found in the Exchange Media hierarchy.
";;;http://vocab.getty.edu/page/aat/300026029;exactMatch;;;;
informationFormsObjects;concept;information forms (objects);InformationFormsHN;Concept;;;;"Types of textual, graphic, electronic, or physical items having the primary and original purpose to record or convey specific information. For forms in the sense of a document having blanks to be filled in, use ""forms (documents).""";;;http://vocab.getty.edu/page/aat/300220751;exactMatch;;;;
informationTechnology;concept;information technology;technologyGeneralAssociatedConcept;Concept;;;;The application of microelectronics, computers, telecommunication, and other automation methods or technology to the organization, storage, retrieval, and dissemination of information, including aural, pictorial, textual, and numeric information.;;;http://vocab.getty.edu/page/aat/300128218;exactMatch;;;;
inlinesGraffiti;concept;inlines (graffiti);outlinesGraffiti;Concept;componentPart;inline (graffiti);;;;;;;;;;
kingsGraffiti;concept;kings (graffiti);peopleByStateOrConditionGT;Concept;communityTerm;king (graffiti);"The ""king (graffiti)"" is ""crowned"" by the community and should not claim this title by him- or herself. This then could be shown off by adding a halo or crown to the tag or other graffiti writing. It is also linked to ""getting up"" (at least among the graffitists).";-;;;http://vocab.getty.edu/page/aat/300025481;broadMatch;https://www.wikidata.org/wiki/Q12097;broadMatch;;
letterformComponents;concept;letterform components;letterforms;Concept;;;;Parts or components of letterforms.;;;http://vocab.getty.edu/page/aat/300266482;exactMatch;;;;
letterforms;concept;letterforms;lettersSigns;Concept;;;;"The design, graphic forms, or shapes of letters or symbols, either as written by hand or as represented in a particular type font. Referenced most often in the fields of typography, paleography, calligraphy, and epigraphy.
";;;http://vocab.getty.edu/page/aat/300387689;exactMatch;;;;
letterShadowsGraffiti;concept;letter shadows (graffiti);outlinesGraffiti;Concept;;shadows, letter (graffiti) $$ letter shadow (graffiti);"The shadow of a letter (or also a character) to create a three-dimensional feeling of the text (or character).";-;;;"http://vocab.getty.edu/page/aat/300056036 ";closeMatch;;;;
lettersSigns;concept;letters (signs);phoneticSigns;Concept;;;;Conventional symbols, usually written or printed, representing alone or in combination simple or complex speech sounds and constituting the units of an alphabet.;;;http://vocab.getty.edu/page/aat/300055055;exactMatch;;;;
